,latitude,longitude
265,-55.25,-75.25
266,-55.25,-75.0
267,-55.25,-74.75
268,-55.25,-74.5
269,-55.25,-74.25
270,-55.25,-74.0
271,-55.25,-73.75
272,-55.25,-73.5
273,-55.25,-73.25
274,-55.25,-73.0
275,-55.25,-72.75
276,-55.25,-72.5
277,-55.25,-72.25
278,-55.25,-72.0
279,-55.25,-71.75
280,-55.25,-71.5
281,-55.25,-71.25
282,-55.25,-71.0
283,-55.25,-70.75
284,-55.25,-70.5
285,-55.25,-70.25
286,-55.25,-70.0
287,-55.0,-77.0
288,-55.0,-76.75
289,-55.0,-76.5
290,-55.0,-76.25
291,-55.0,-76.0
292,-55.0,-75.75
293,-55.0,-75.5
294,-55.0,-75.25
295,-55.0,-75.0
296,-55.0,-74.75
297,-55.0,-74.5
298,-55.0,-74.25
299,-55.0,-74.0
300,-55.0,-73.75
301,-55.0,-73.5
302,-55.0,-73.25
303,-55.0,-73.0
304,-55.0,-72.75
305,-55.0,-72.5
306,-55.0,-72.25
307,-55.0,-72.0
308,-55.0,-71.75
309,-55.0,-71.5
310,-55.0,-71.25
311,-55.0,-70.0
312,-54.75,-77.25
313,-54.75,-77.0
314,-54.75,-76.75
315,-54.75,-76.5
316,-54.75,-76.25
317,-54.75,-76.0
318,-54.75,-75.75
319,-54.75,-75.5
320,-54.75,-75.25
321,-54.75,-75.0
322,-54.75,-74.75
323,-54.75,-74.5
324,-54.75,-74.25
325,-54.75,-74.0
326,-54.75,-73.75
327,-54.75,-73.5
328,-54.75,-73.25
329,-54.75,-73.0
330,-54.75,-72.75
331,-54.75,-72.5
332,-54.75,-72.25
333,-54.75,-72.0
334,-54.75,-71.75
335,-54.5,-77.25
336,-54.5,-77.0
337,-54.5,-76.75
338,-54.5,-76.5
339,-54.5,-76.25
340,-54.5,-76.0
341,-54.5,-75.75
342,-54.5,-75.5
343,-54.5,-75.25
344,-54.5,-75.0
345,-54.5,-74.75
346,-54.5,-74.5
347,-54.5,-74.25
348,-54.5,-74.0
349,-54.5,-73.75
350,-54.5,-73.5
351,-54.5,-73.25
352,-54.5,-72.75
353,-54.5,-72.5
354,-54.5,-72.25
355,-54.25,-77.5
356,-54.25,-77.25
357,-54.25,-77.0
358,-54.25,-76.75
359,-54.25,-76.5
360,-54.25,-76.25
361,-54.25,-76.0
362,-54.25,-75.75
363,-54.25,-75.5
364,-54.25,-75.25
365,-54.25,-75.0
366,-54.25,-74.75
367,-54.25,-74.5
368,-54.25,-74.25
369,-54.25,-74.0
370,-54.25,-73.75
371,-54.25,-73.5
372,-54.25,-73.25
373,-54.25,-73.0
374,-54.25,-72.75
375,-54.0,-77.5
376,-54.0,-77.25
377,-54.0,-77.0
378,-54.0,-76.75
379,-54.0,-76.5
380,-54.0,-76.25
381,-54.0,-76.0
382,-54.0,-75.75
383,-54.0,-75.5
384,-54.0,-75.25
385,-54.0,-75.0
386,-54.0,-74.75
387,-54.0,-74.5
388,-54.0,-74.25
389,-54.0,-74.0
390,-54.0,-73.75
391,-54.0,-73.5
392,-53.75,-77.75
393,-53.75,-77.5
394,-53.75,-77.25
395,-53.75,-77.0
396,-53.75,-76.75
397,-53.75,-76.5
398,-53.75,-76.25
399,-53.75,-76.0
400,-53.75,-75.75
401,-53.75,-75.5
402,-53.75,-75.25
403,-53.75,-75.0
404,-53.75,-74.75
405,-53.75,-74.5
406,-53.75,-74.25
407,-53.75,-74.0
408,-53.75,-73.75
409,-53.75,-73.5
410,-53.75,-71.75
411,-53.75,-70.25
412,-53.5,-77.75
413,-53.5,-77.5
414,-53.5,-77.25
415,-53.5,-77.0
416,-53.5,-76.75
417,-53.5,-76.5
418,-53.5,-76.25
419,-53.5,-76.0
420,-53.5,-75.75
421,-53.5,-75.5
422,-53.5,-75.25
423,-53.5,-75.0
424,-53.5,-74.75
425,-53.5,-74.5
426,-53.5,-74.0
427,-53.5,-70.25
428,-53.5,-70.0
429,-53.5,-69.75
430,-53.5,-69.5
431,-53.25,-78.0
432,-53.25,-77.75
433,-53.25,-77.5
434,-53.25,-77.25
435,-53.25,-77.0
436,-53.25,-76.75
437,-53.25,-76.5
438,-53.25,-76.25
439,-53.25,-76.0
440,-53.25,-75.75
441,-53.25,-75.5
442,-53.25,-75.25
443,-53.25,-75.0
444,-53.25,-74.75
445,-53.25,-74.5
446,-53.25,-73.75
447,-53.25,-70.75
448,-53.25,-70.5
449,-53.0,-78.0
450,-53.0,-77.75
451,-53.0,-77.5
452,-53.0,-77.25
453,-53.0,-77.0
454,-53.0,-76.75
455,-53.0,-76.5
456,-53.0,-76.25
457,-53.0,-76.0
458,-53.0,-75.75
